"","expr","time","model","times"
"1","deq",4367962602,"DEQ",4.367962602
"2","deq",3705041657,"DEQ",3.705041657
"3","deq",4353391035,"DEQ",4.353391035
"4","deq",4073981078,"DEQ",4.073981078
"5","deq",3656905170,"DEQ",3.65690517
"6","deq",3789063097,"DEQ",3.789063097
"7","deq",3655009574,"DEQ",3.655009574
"8","deq",3879151734,"DEQ",3.879151734
"9","deq",3669452488,"DEQ",3.669452488
"10","deq",3637156007,"DEQ",3.637156007
"11","deq",3639786356,"DEQ",3.639786356
"12","deq",3654526466,"DEQ",3.654526466
"13","deq",3641146108,"DEQ",3.641146108
"14","deq",3791290929,"DEQ",3.791290929
"15","deq",3652191995,"DEQ",3.652191995
"16","deq",3658734918,"DEQ",3.658734918
"17","deq",3767688733,"DEQ",3.767688733
"18","deq",3709090766,"DEQ",3.709090766
"19","deq",3779389790,"DEQ",3.77938979
"20","deq",3643631380,"DEQ",3.64363138
"21","deq",3631546301,"DEQ",3.631546301
"22","deq",3677148798,"DEQ",3.677148798
"23","deq",3664833715,"DEQ",3.664833715
"24","deq",3670934631,"DEQ",3.670934631
"25","deq",3764431741,"DEQ",3.764431741
"26","deq",3611336192,"DEQ",3.611336192
"27","deq",3581152763,"DEQ",3.581152763
"28","deq",3653794261,"DEQ",3.653794261
"29","deq",3615563510,"DEQ",3.61556351
"30","deq",3730060600,"DEQ",3.7300606
"31","deq",3623725445,"DEQ",3.623725445
"32","deq",3616974827,"DEQ",3.616974827
"33","deq",3625632741,"DEQ",3.625632741
"34","deq",3623473734,"DEQ",3.623473734
"35","deq",3669505505,"DEQ",3.669505505
"36","deq",3741068237,"DEQ",3.741068237
"37","deq",3680454923,"DEQ",3.680454923
"38","deq",3805706802,"DEQ",3.805706802
"39","deq",3746218684,"DEQ",3.746218684
"40","deq",3698743485,"DEQ",3.698743485
"41","deq",3733265896,"DEQ",3.733265896
"42","deq",3632481967,"DEQ",3.632481967
"43","deq",3625015763,"DEQ",3.625015763
"44","deq",3631995158,"DEQ",3.631995158
"45","deq",3618526233,"DEQ",3.618526233
"46","deq",3632340558,"DEQ",3.632340558
"47","deq",3731840504,"DEQ",3.731840504
"48","deq",3625632604,"DEQ",3.625632604
"49","deq",3622538698,"DEQ",3.622538698
"50","deq",3739123158,"DEQ",3.739123158
"51","deq",3621417096,"DEQ",3.621417096
"52","deq",3743413471,"DEQ",3.743413471
"53","deq",3645885977,"DEQ",3.645885977
"54","deq",3647471722,"DEQ",3.647471722
"55","deq",3637731305,"DEQ",3.637731305
"56","deq",3615688375,"DEQ",3.615688375
"57","deq",3630957899,"DEQ",3.630957899
"58","deq",3743566916,"DEQ",3.743566916
